Date,Close(ACN),_Returns_ACN,,Close(S&P500),Returns_S&p,,,
7/26/2021,317.679993,0.013063441,,4395.259766,0.009387444,,,
8/2/2021,321.829987,0.005033791,,4436.52002,0.007095647,,,
8/9/2021,323.450012,0.028443288,,4468,-0.005893034,,,
8/16/2021,332.649994,0.00904858,,4441.669922,0.015242059,,,
8/23/2021,335.660004,0.022850453,,4509.370117,0.005779091,,,
8/30/2021,343.329987,-0.00410676,,4535.430176,-0.01694439,,,
9/6/2021,341.920013,-0.019068843,,4458.580078,-0.00573946,,,
9/13/2021,335.399994,0.011419252,,4432.990234,0.005073268,,,
9/20/2021,339.230011,-0.042360716,,4455.47998,-0.022094127,,,
9/27/2021,324.859985,0.001015875,,4357.040039,0.007872272,,,
10/4/2021,325.190002,0.051139349,,4391.339844,0.018224568,,,
10/11/2021,341.820007,0.035018436,,4471.370117,0.016444576,,,
10/18/2021,353.790009,0.014132677,,4544.899902,0.01330722,,,
10/25/2021,358.790009,0.026951648,,4605.379883,0.020009186,,,
11/1/2021,368.459991,0.007517831,,4697.529785,-0.00312498,,,
11/8/2021,371.230011,-0.003879002,,4682.850098,0.003226638,,,
11/15/2021,369.790009,-0.043781613,,4697.959961,-0.021996749,,,
11/22/2021,353.600006,0.022115404,,4594.620117,-0.012229507,,,
11/29/2021,361.420013,0.049858858,,4538.430176,0.038248874,,,
12/6/2021,379.440002,0.044275743,,4712.02002,-0.019392932,,,
12/13/2021,396.23999,0.017842742,,4620.640137,0.022756566,,,
12/20/2021,403.309998,0.027869356,,4725.790039,0.008546748,,,
12/27/2021,414.549988,-0.10565671,,4766.180176,-0.018704788,,,
1/3/2022,370.75,-0.046904963,,4677.029785,-0.003031772,,,
1/10/2022,353.359985,-0.050175404,,4662.850098,-0.056812926,,,
1/17/2022,335.630005,0.021511786,,4397.939941,0.007710464,,,
1/24/2022,342.850006,0.013562765,,4431.850098,0.015496843,,,
1/31/2022,347.5,-0.052719445,,4500.529785,-0.018195557,,,
2/7/2022,329.179993,-0.024302814,,4418.640137,-0.01578993,,,
2/14/2022,321.179993,0.004141033,,4348.870117,0.008227375,,,
2/21/2022,322.51001,-0.025890688,,4384.649902,-0.012721605,,,
2/28/2022,314.160004,-0.00821243,,4328.870117,-0.028774265,,,
3/7/2022,311.579987,0.039700961,,4204.310059,0.061558271,,,
3/14/2022,323.950012,0.011606664,,4463.120117,0.017911224,,,
3/21/2022,327.709991,0.039455691,,4543.060059,0.000616282,,,
3/28/2022,340.640015,-0.005049325,,4545.859863,-0.012666488,,,
4/4/2022,338.920013,-0.057388207,,4488.279785,-0.021319959,,,
4/11/2022,319.470001,-0.027138739,,4392.589844,-0.02750315,,,
4/18/2022,310.799988,-0.033590745,,4271.779785,-0.032738019,,,
4/25/2022,300.359985,-0.015381526,,4131.930176,-0.002079012,,,
5/2/2022,295.73999,-0.0303307,,4123.339844,-0.024118786,,,
5/9/2022,286.769989,-0.035289589,,4023.889893,-0.030450581,,,
5/16/2022,276.649994,0.099403581,,3901.360107,0.065843737,,,
5/23/2022,304.149994,0.00263034,,4158.240234,-0.011952218,,,
5/30/2022,304.950012,-0.062108546,,4108.540039,-0.050548353,,,
6/6/2022,286.01001,-0.037166549,,3900.860107,-0.057941073,,,
6/13/2022,275.380005,0.087115947,,3674.840088,0.064465363,,,
6/20/2022,299.369995,-0.06253132,,3911.73999,-0.022089892,,,
6/27/2022,280.649994,-0.005629742,,3825.330078,0.019357756,,,
7/4/2022,279.070007,-0.027054208,,3899.379883,-0.009288649,,,
7/11/2022,271.519989,0.060732254,,3863.159912,0.025489489,,,
7/18/2022,288.01001,0.063365853,,3961.629883,0.042573426,,,
7/25/2022,306.26001,0.010089453,,4130.290039,0.003607471,,,
8/1/2022,309.350006,0.035849348,,4145.189941,0.032558209,,,
8/8/2022,320.440002,-0.01607163,,4280.149902,-0.012071989,,,
8/15/2022,315.290009,-0.054426095,,4228.47998,-0.040397511,,,
8/22/2022,298.130005,-0.047160627,,4057.659912,-0.032876068,,,
